timestamp,merchant_name,category,amount,currency
2024-04-04 18:32:41+00:00,Decathlon,,-27.97,EUR
2024-04-04 20:20:14+00:00,Mercadona,,-16.61,EUR
2024-04-04 20:21:48+00:00,Frutas Diaz,,-3.5,EUR
2024-04-05 18:30:42+00:00,Mercadona,,-11.9,EUR
2024-04-06 00:08:11+00:00,Cabify,,-9.83,EUR
2024-04-06 02:37:01+00:00,Cabify,,-12.2,EUR
2024-04-06 12:28:10+00:00,La Forneria,,-5.7,EUR
2024-04-06 12:58:41+00:00,Mercadona,,-12.12,EUR
2024-04-06 13:00:13+00:00,Shawarmax,,-4.9,EUR
2024-04-06 20:00:31+00:00,Mercadona,,-18.74,EUR
2024-04-07 22:21:24+00:00,Dhaba,,-22.53,EUR
2024-04-08 12:00:52+00:00,Mercadona,,-2.05,EUR
2024-04-08 18:15:46+00:00,UNIQLO,,-44.8,EUR
2024-04-08 19:17:24+00:00,Mercadona,,-33.4,EUR
2024-04-08 20:04:16+00:00,Streamz,,-7.95,EUR
2024-04-09 16:44:06+00:00,Anita Gelato,,-5.8,EUR
2024-04-09 21:59:11+00:00,La Brillantina,,-59.4,EUR
2024-04-10 13:45:44+00:00,DIAGONAL,,-16.4,EUR
2024-04-10 16:25:43+00:00,Mercadona,,-4.7,EUR
2024-04-10 17:27:50+00:00,Amovens,,-50.42,EUR
2024-04-10 18:07:38+00:00,el Fornet,,-2.5,EUR
2024-04-11 14:12:13+00:00,MacxiPA,,-3.25,EUR
2024-04-11 14:52:09+00:00,Pimp My Trip,,-25.0,EUR
2024-04-11 16:27:23+00:00,Mercadona,,-12.56,EUR
2024-04-11 20:21:45+00:00,Samosa Indian Tandoori,,-16.29,EUR
2024-04-11 22:17:07+00:00,Orange,,-15.0,EUR
2024-04-12 10:58:48+00:00,Resident Advisor,,-11.3,EUR
2024-04-12 12:07:14+00:00,Bar Estacion Central,,-1.7,EUR
2024-04-12 12:49:59+00:00,Ferrocarrils de la Generalitat Catalunya,,-56.0,EUR
2024-04-12 13:47:52+00:00,Restaurante Noru,,-14.0,EUR
2024-04-12 13:59:09+00:00,Montserrat Visita,,-6.2,EUR
2024-04-12 17:51:56+00:00,Montserrat Visita,,-5.1,EUR
2024-04-12 20:13:47+00:00,honest greens,,-12.4,EUR
2024-04-13 03:10:30+00:00,The Garage Club,,-25.0,EUR
2024-04-13 03:12:16+00:00,The Garage Club,,-2.0,EUR
2024-04-13 03:14:42+00:00,The Garage Club,,-10.0,EUR
2024-04-13 03:33:03+00:00,The Garage Club,,-3.0,EUR
2024-04-13 04:52:10+00:00,The Garage Club,,-6.0,EUR
2024-04-13 05:14:28+00:00,The Garage Club,,-6.0,EUR
2024-04-13 05:54:55+00:00,The Garage Club,,-6.0,EUR
2024-04-13 06:18:52+00:00,The Garage Club,,-6.0,EUR
2024-04-13 15:14:46+00:00,Las Ramblas,,-16.55,EUR
2024-04-13 17:26:30+00:00,Premmia Mercat,,-2.05,EUR
2024-04-13 18:49:46+00:00,YEGO,,-10.23,EUR
2024-04-13 20:34:18+00:00,YEGO,,-6.27,EUR
2024-04-13 20:39:18+00:00,Lestupenda,,-11.5,EUR
2024-04-13 20:55:45+00:00,McDonald's,,-4.51,EUR
2024-04-13 21:14:51+00:00,YEGO,,-3.96,EUR
2024-04-14 10:06:30+00:00,Restaurant Can Jane,,-17.3,EUR
2024-04-14 13:02:42+00:00,Suma Supermercados,,-2.94,EUR
2024-04-14 14:30:54+00:00,Tabacos,,-12.6,EUR
2024-04-14 15:16:29+00:00,Bar Josep,,-16.9,EUR
2024-04-14 15:40:31+00:00,Productes Artesans Cal,,-2.1,EUR
2024-04-14 18:29:35+00:00,Vidreres C 35 Dir. Granol,,-19.63,EUR
2024-04-14 19:26:55+00:00,Madonna Gelateria,,-3.8,EUR
2024-04-14 20:44:22+00:00,SumUp,,-3.0,EUR
2024-04-14 21:59:06+00:00,Cred Area De Montcada Sur,,-16.85,EUR
2024-04-14 23:52:02+00:00,Musta Shawarma,,-17.9,EUR
2024-04-15 00:12:07+00:00,YEGO,,-5.61,EUR
2024-04-15 16:26:31+00:00,Mercadona,,-8.07,EUR
2024-04-15 18:20:20+00:00,YEGO,,-2.97,EUR
2024-04-15 18:53:36+00:00,YEGO,,-4.29,EUR
2024-04-15 20:27:25+00:00,Mercadona,,-11.49,EUR
2024-04-15 22:46:33+00:00,Antonias Burger,,-30.5,EUR
2024-04-16 06:10:22+00:00,Bicing,,-1.05,EUR
2024-04-16 09:39:37+00:00,YEGO,,-2.97,EUR
2024-04-16 14:00:33+00:00,Too Good To Go,,-2.99,EUR
2024-04-16 17:34:11+00:00,Taperia El Born,,-8.2,EUR
2024-04-16 20:41:03+00:00,Restaurante ISABELLA'S,,-63.5,EUR
2024-04-16 21:05:14+00:00,Unibet,,-50.0,EUR
2024-04-16 22:15:13+00:00,Tabacs,,-39.0,EUR
2024-04-17 19:04:13+00:00,Mercadona,,-13.76,EUR
2024-04-17 19:38:50+00:00,Mercadona,,-7.02,EUR
2024-04-17 22:07:44+00:00,FlixBus,,-75.98,EUR
2024-04-18 09:52:27+00:00,YEGO,,-2.64,EUR
2024-04-18 14:07:09+00:00,MacxiPA,,-3.35,EUR
2024-04-18 18:59:52+00:00,BCM Mallorca,,-11.8,EUR
2024-04-19 16:12:43+00:00,Mercadona,,-18.57,EUR
2024-04-19 22:14:57+00:00,SUPERMARKET,,-7.99,EUR
2024-04-20 02:06:01+00:00,Bikinis Ltd,,-4.0,EUR
2024-04-20 03:20:05+00:00,Uber,,-12.2,EUR
2024-04-20 04:19:52+00:00,FREE NOW,,-17.3,EUR
2024-04-20 17:34:25+00:00,Mercadona,,-6.58,EUR
2024-04-20 18:20:53+00:00,Mercadona,,-12.43,EUR
2024-04-20 20:57:39+00:00,Estanco,,-4.35,EUR
2024-04-20 21:11:00+00:00,Supermercat,,-3.0,EUR
2024-04-20 22:52:35+00:00,Hungry Eyes,,-37.11,EUR
2024-04-21 01:46:55+00:00,The George,,-6.0,EUR
2024-04-21 02:16:50+00:00,The George,,-6.0,EUR
2024-04-21 14:24:34+00:00,Kachafruit Barna S.L.,,-5.63,EUR
2024-04-22 12:28:04+00:00,Mercadona,,-13.91,EUR
2024-04-22 16:04:44+00:00,Del Molino Roa Sl,,-2.85,EUR
2024-04-22 16:26:34+00:00,MacxiPA,,-1.55,EUR
2024-04-23 14:28:43+00:00,Fleca Del Metro Slu,,-10.0,EUR
2024-04-23 16:04:03+00:00,La Balmesina,,-46.9,EUR
2024-04-23 16:39:50+00:00,Good News Glories,,-3.0,EUR
2024-04-23 18:20:22+00:00,Crispy Chicken,,-7.5,EUR
2024-04-23 18:53:10+00:00,Tabacs Estanc Exp n° 446,,-4.35,EUR
2024-04-23 20:39:57+00:00,YEGO,,-3.3,EUR
2024-04-23 20:43:56+00:00,Lidl,,-13.29,EUR
2024-04-23 20:58:42+00:00,YEGO,,-4.29,EUR
2024-04-24 10:05:57+00:00,Del Molino Roa,,-1.2,EUR
2024-04-24 12:36:42+00:00,Mercadona,,-12.97,EUR
2024-04-25 09:52:42+00:00,YEGO,,-3.3,EUR
2024-04-25 11:31:11+00:00,Del Molino Roa,,-2.4,EUR
2024-04-25 14:05:10+00:00,MacxiPA,,-4.0,EUR
2024-04-25 14:05:58+00:00,Del Molino Roa,,-5.6,EUR
2024-04-25 16:34:39+00:00,YEGO,,-6.27,EUR
2024-04-25 18:56:44+00:00,Santamasa Sarrià,,-16.0,EUR
2024-04-26 03:39:15+00:00,Aerobús Barcelona,,-7.25,EUR
2024-04-26 04:46:46+00:00,Barcelona Airport,,-6.2,EUR
2024-04-26 08:57:47+00:00,Lagkagehuset,,-10.35,EUR
2024-04-26 09:39:38+00:00,DSB,,-4.04,EUR
2024-04-26 14:33:03+00:00,Palmehuset,,-5.38,EUR
2024-04-26 15:24:41+00:00,DSB,,-3.23,EUR
2024-04-26 18:20:47+00:00,Steel House Copenhagen,,-7.4,EUR
2024-04-26 19:38:41+00:00,Mercadona,,-10.63,EUR
2024-04-27 01:32:55+00:00,Ps Bar & Grill A/s,,-59.86,EUR
2024-04-27 02:00:00+00:00,Tivoli,,-21.5,EUR
2024-04-27 03:55:03+00:00,Lsland Aps,,-13.46,EUR
2024-04-27 04:08:10+00:00,Cff Investment Est 2016 A,,-13.46,EUR
2024-04-27 11:44:54+00:00,Steel House Copenhagen,,-2.7,EUR
2024-04-27 14:32:20+00:00,Christiania Is Ap,,-7.81,EUR
2024-04-27 15:33:59+00:00,TIER,,-8.68,EUR
2024-04-27 16:09:02+00:00,Havfruekiosken,,-6.06,EUR
2024-04-27 16:44:40+00:00,DSB,,-6.46,EUR
2024-04-27 16:52:28+00:00,Lagkagehuset,,-8.75,EUR
2024-04-27 19:45:12+00:00,Tecnotron,,-5.0,EUR
2024-04-27 21:42:46+00:00,7-Eleven,,-5.39,EUR
2024-04-27 22:09:22+00:00,Street Kitchen,,-7.94,EUR
2024-04-27 22:21:50+00:00,Tivoli,,-21.53,EUR
2024-04-27 22:41:45+00:00,Tivoli,,-24.22,EUR
2024-04-27 22:57:47+00:00,Ben&jerrys Isbod,,-5.25,EUR
2024-04-28 12:05:51+00:00,DOT - Din Offentlige Transport,,-3.23,EUR
2024-04-28 14:22:39+00:00,Too Good To Go,,-2.99,EUR
2024-04-28 14:52:55+00:00,Landbageriet,,-5.65,EUR
2024-04-28 17:15:40+00:00,Coop 365discount,,-1.0,EUR
2024-04-28 19:44:14+00:00,DOT - Din Offentlige Transport,,-4.04,EUR
2024-04-28 20:34:38+00:00,7-Eleven,,-6.06,EUR
2024-04-28 20:35:22+00:00,7-Eleven,,-3.84,EUR
2024-04-29 12:04:08+00:00,Lidl,,-4.17,EUR
2024-04-29 20:25:32+00:00,Mercadona,,-4.33,EUR
2024-04-30 12:03:57+00:00,Bocconi University,,-1.6,EUR
2024-04-30 13:42:53+00:00,Crep Nova Sarria,,-19.35,EUR
2024-04-30 18:44:21+00:00,Mercadona,,-4.25,EUR
2024-04-30 19:59:28+00:00,Too Good To Go,,-2.99,EUR
2024-05-01 04:08:27+00:00,Uber,,-13.51,EUR
2024-05-01 15:53:28+00:00,el Fornet,,-2.65,EUR
2024-05-01 16:31:23+00:00,superCOR,,-7.34,EUR
2024-05-02 18:33:10+00:00,Mercadona,,-8.79,EUR
2024-05-02 19:46:05+00:00,Headquarters,,-33.0,EUR
2024-05-03 12:00:40+00:00,Mercadona,,-31.54,EUR
2024-05-03 14:28:53+00:00,Del Molino Roa Sl,,-2.6,EUR
2024-05-03 17:31:58+00:00,DICE,,-49.5,EUR
2024-05-03 19:05:47+00:00,Jorge Alberto Campos,,-4.35,EUR
2024-05-03 20:37:17+00:00,Restaurant,,-13.0,EUR
2024-05-03 21:02:46+00:00,Restaurant,,-11.0,EUR
2024-05-03 21:49:40+00:00,Restaurant,,-6.0,EUR
2024-05-03 22:36:23+00:00,Restaurant,,-6.0,EUR
2024-05-03 23:41:00+00:00,Cabify,,-9.42,EUR
2024-05-04 00:22:08+00:00,45/33 Bar,,-5.8,EUR
2024-05-04 16:13:03+00:00,Mercadona,,-9.37,EUR
2024-05-04 17:52:32+00:00,Bar Prieto,,-8.1,EUR
2024-05-04 18:13:32+00:00,Bar Pietro,,-2.5,EUR
2024-05-04 19:23:21+00:00,Tio Bigotes,,-2.6,EUR
2024-05-04 20:32:25+00:00,Mint Bar,,-6.0,EUR
2024-05-04 21:49:02+00:00,Mint Bar,,-3.0,EUR
2024-05-05 00:35:14+00:00,Uber Eats,,-18.77,EUR
