timestamp,merchant_name,category,amount,currency
2024-03-08 20:40:15+00:00,Mercadona,Groceries,-3.75,EUR
2024-03-09 15:28:53+00:00,Cabify,Travel & Transportation,-12.5,EUR
2024-03-09 16:51:09+00:00,FREE NOW,Travel & Transportation,-17.5,EUR
2024-03-10 01:37:29+00:00,Too Good To Go,Groceries,-2.99,EUR
2024-03-11 11:47:20+00:00,Mercadona,Groceries,-14.83,EUR
2024-03-11 17:07:08+00:00,Tu Dulce Pasion 2,Restaurants,-1.5,EUR
2024-03-12 11:40:39+00:00,MacxiPA,Restaurants,-3.55,EUR
2024-03-13 15:33:09+00:00,Mercadona,Groceries,-4.8,EUR
2024-03-13 19:19:01+00:00,La Plata,Restaurants,-7.0,EUR
2024-03-14 11:24:53+00:00,McDonald's,Restaurants,-4.51,EUR
2024-03-16 01:21:17+00:00,OCEAN'S,Entertainment,-2.0,EUR
2024-03-16 04:57:05+00:00,Bicing,Travel & Transportation,-0.35,EUR
2024-03-16 05:34:44+00:00,McDonald's,Restaurants,-6.16,EUR
2024-03-16 14:39:27+00:00,Mercadona,Groceries,-12.7,EUR
2024-03-16 18:22:10+00:00,Badiani Mandri,Restaurants,-4.5,EUR
2024-03-16 18:32:19+00:00,Too Good To Go,Groceries,-2.99,EUR
2024-03-16 23:52:07+00:00,Bar Manchester,Entertainment,-3.5,EUR
2024-03-17 01:12:57+00:00,McDonald's,Restaurants,-11.02,EUR
2024-03-18 20:14:41+00:00,Omio,Travel & Transportation,-66.91,EUR
2024-03-19 10:42:13+00:00,MacxiPA,Restaurants,-3.55,EUR
2024-03-19 21:21:49+00:00,honest greens,Restaurants,-17.69,EUR
2024-03-20 14:43:58+00:00,Amazon,Shopping,-18.68,EUR
2024-03-21 13:54:04+00:00,Del Molino Roa,Restaurants,-5.0,EUR
2024-03-21 13:55:54+00:00,MacxiPA,Restaurants,-3.15,EUR
2024-03-21 19:56:11+00:00,Mercadona,Groceries,-2.05,EUR
2024-03-21 22:03:25+00:00,Casa Sagnier,Entertainment,-11.0,EUR
2024-03-22 02:44:46+00:00,Cabify,Travel & Transportation,-5.99,EUR
2024-03-22 03:09:51+00:00,Pimp My Trip,Travel & Transportation,-40.0,EUR
